,Bus1,Bus2,C0,C1,CMatrix,EmergAmps,Geometry,Length,LineCode,Name,NormAmps,NumCust,Parent,Phases,R0,R1,Rg,Rho,RMatrix,Spacing,TotalCust,Units,X0,X1,Xg,XMatrix,Yprim,Idx,IsSwitch,SeasonRating
line_75626065_3106786_3104697,3104697.3,3106786.3,0.00010000000000000002,0.00010000000000000002,[0.0001],600.0,,0.025832017431589544,1p_code2,line_75626065_3106786_3104697,400.0,0,0,1,0.7839,0.7839,0.01805,100.0,[0.7839],,0,3,0.0915,0.0915,0.155081,[0.09149999999999998],"[48.260771081440986, -6.576772731071438, -48.260771081440986, 6.576772731071925, -48.260771081440986, 6.576772731071925, 48.260771081440986, -6.576772731071438]",57,False,400.0
line_75626066_3106787_3104472,3104472.3,3106787.3,0.00010000000000000002,0.00010000000000000002,[0.0001],600.0,,0.01772876157720479,1p_code2,line_75626066_3106787_3104472,400.0,0,0,1,0.7839,0.7839,0.01805,100.0,[0.7839],,0,3,0.0915,0.0915,0.155081,[0.09149999999999998],"[70.31924223295314, -9.582807411155494, -70.31924223295314, 9.582807411155828, -70.31924223295314, 9.582807411155828, 70.31924223295314, -9.582807411155494]",58,False,400.0
line_75626067_3106788_3105996,3105996.3,3106788.3,0.00010000000000000002,0.00010000000000000002,[0.0001],600.0,,0.015268603284092398,1p_code2,line_75626067_3106788_3105996,400.0,0,0,1,0.7839,0.7839,0.01805,100.0,[0.7839],,0,3,0.0915,0.0915,0.155081,[0.09149999999999998],"[81.6494512721136, -11.126840135380927, -81.6494512721136, 11.126840135381215, -81.6494512721136, 11.126840135381215, 81.6494512721136, -11.126840135380927]",59,False,400.0
line_75626068_3106789_3105996,3105996.1,3106789.1,0.00010000000000000002,0.00010000000000000002,[0.0001],600.0,,0.021758003590583115,1p_code2,line_75626068_3106789_3105996,400.0,0,0,1,0.7839,0.7839,0.01805,100.0,[0.7839],,0,3,0.0915,0.0915,0.155081,[0.09149999999999998],"[57.29721822351832, -7.808221334524134, -57.29721822351832, 7.808221334524545, -57.29721822351832, 7.808221334524545, 57.29721822351832, -7.808221334524134]",60,False,400.0
line_75626069_3106790_3105029,3105029.1,3106790.1,0.00010000000000000002,0.00010000000000000002,[0.0001],600.0,,0.018609887828541095,1p_code2,line_75626069_3106790_3105029,400.0,0,0,1,0.7839,0.7839,0.01805,100.0,[0.7839],,0,3,0.0915,0.0915,0.155081,[0.09149999999999998],"[66.98982236345203, -9.129088224384244, -66.98982236345203, 9.129088224384594, -66.98982236345203, 9.129088224384594, 66.98982236345203, -9.129088224384244]",61,False,400.0
line_75626070_3106791_3105074,3105074.1,3106791.1,0.00010000000000000002,0.00010000000000000002,[0.0001],600.0,,0.031940845113756514,1p_code2,line_75626070_3106791_3105074,400.0,0,0,1,0.7839,0.7839,0.01805,100.0,[0.7839],,0,3,0.0915,0.0915,0.155081,[0.09149999999999998],"[39.03068548742969, -5.318935902527622, -39.03068548742969, 5.318935902528224, -39.03068548742969, 5.318935902528224, 39.03068548742969, -5.318935902527622]",62,False,400.0
line_75626071_3106792_3105074,3105074.3,3106792.3,0.00010000000000000002,0.00010000000000000002,[0.0001],600.0,,0.027290539873241072,1p_code2,line_75626071_3106792_3105074,400.0,0,0,1,0.7839,0.7839,0.01805,100.0,[0.7839],,0,3,0.0915,0.0915,0.155081,[0.09149999999999998],"[45.681510355906305, -6.225282043585388, -45.681510355906305, 6.225282043585902, -45.681510355906305, 6.225282043585902, 45.681510355906305, -6.225282043585388]",63,False,400.0
line_75626072_3106793_3106028,3106028.1,3106793.1,0.00010000000000000002,0.00010000000000000002,[0.0001],600.0,,0.015794764520601284,1p_code2,line_75626072_3106793_3106028,400.0,0,0,1,0.7839,0.7839,0.01805,100.0,[0.7839],,0,3,0.0915,0.0915,0.155081,[0.09149999999999998],"[78.9295135240343, -10.756178581267037, -78.9295135240343, 10.756178581267335, -78.9295135240343, 10.756178581267335, 78.9295135240343, -10.756178581267037]",64,False,400.0
line_75626073_3106794_3106348,3106348.1,3106794.1,0.00010000000000000002,0.00010000000000000002,[0.0001],600.0,,0.018849668458684243,1p_code2,line_75626073_3106794_3106348,400.0,0,0,1,0.7839,0.7839,0.01805,100.0,[0.7839],,0,3,0.0915,0.0915,0.155081,[0.09149999999999998],"[66.13766616480623, -9.01296000006702, -66.13766616480623, 9.012960000067375, -66.13766616480623, 9.012960000067375, 66.13766616480623, -9.01296000006702]",65,False,400.0
line_75626124_3106845_3104576,3104576.3,3106845.3,0.00010000000000000002,0.00010000000000000002,[0.0001],600.0,,0.017069613564863088,1p_code2,line_75626124_3106845_3104576,400.0,0,0,1,0.7839,0.7839,0.01805,100.0,[0.7839],,0,3,0.0915,0.0915,0.155081,[0.09149999999999998],"[73.03463989389589, -9.95285026149389, -73.03463989389589, 9.952850261494211, -73.03463989389589, 9.952850261494211, 73.03463989389589, -9.95285026149389]",66,False,400.0
